source,target,coef_mean,coef_abs,p,-logp,timepoint_code,somite_stage,celltype,grn_type
sox6,actc1b,0.19781952,0.19781952,7.527719981005019e-19,18.123336544331888,TDR125,20,muscle,filtered
sox5,apoeb,0.16638125,0.16638125,9.321485209987299e-11,10.030514885166061,TDR125,20,muscle,filtered
etv4,apoeb,0.16305351,0.16305351,2.3808133722323336e-10,9.623274646840532,TDR125,20,muscle,filtered
foxd3,sox6,0.13469842,0.13469842,6.0496799558353864e-24,23.218267600073343,TDR125,20,muscle,filtered
nkx2.4a,he1.1,0.11506047,0.11506047,4.982022577018287e-11,10.30259430870392,TDR125,20,muscle,filtered
hmga1a,apoeb,0.103029415,0.103029415,3.1041355196479085e-05,4.508059326669485,TDR125,20,muscle,filtered
hoxc6b,hoxc3a,0.093733855,0.093733855,7.689467039767754e-11,10.114103760290782,TDR125,20,muscle,filtered
foxd3,myl1,0.091078825,0.091078825,8.906846439990448e-21,20.05027603514805,TDR125,20,muscle,filtered
meox1,apoc1,0.09085669,0.09085669,2.6415545333768096e-16,15.578140419124246,TDR125,20,muscle,filtered
pax2a,pax5,0.089498736,0.089498736,6.923732128741885e-11,10.159659742827214,TDR125,20,muscle,filtered
sox11a,actc1b,0.088884264,0.088884264,1.0291859955034994e-06,5.987506132019535,TDR125,20,muscle,filtered
tfap2e,myo1cb,0.088320896,0.088320896,1.1564985076808938e-13,12.936854923296623,TDR125,20,muscle,filtered
sox6,mybphb,0.08700558,0.08700558,1.4741933505335637e-19,18.831445552051683,TDR125,20,muscle,filtered
sox5,rxraa,0.08497138,0.08497138,3.3546429151804775e-14,13.47435370149205,TDR125,20,muscle,filtered
tbx16,itm2cb,0.08465124,0.08465124,3.610905702391561e-21,20.44238385288188,TDR125,20,muscle,filtered
nr5a2,srl,0.08346542,0.08346542,6.179935246038684e-16,15.209016075467076,TDR125,20,muscle,filtered
zbtb18,efemp2b,0.083242014,0.083242014,1.9824038421115933e-16,15.702807869257839,TDR125,20,muscle,filtered
rxraa,meox1,0.081980385,0.081980385,5.993759637872499e-15,14.222300677145912,TDR125,20,muscle,filtered
cdx4,actb2,0.08145333,0.08145333,8.707056022879418e-14,13.060128661196961,TDR125,20,muscle,filtered
sox5,actc1b,-0.079704605,0.079704605,3.5324398628533463e-09,8.451925222955204,TDR125,20,muscle,filtered
zbtb18,bcam,0.07881345,0.07881345,8.891540360913418e-13,12.05102299580193,TDR125,20,muscle,filtered
lef1,zbtb16a,0.07786744,0.07786744,5.559009705683846e-14,13.25500256770973,TDR125,20,muscle,filtered
pitx2,he1.1,0.07744573,0.07744573,1.528902147767098e-08,7.8156203092539265,TDR125,20,muscle,filtered
etv4,rxraa,0.077379756,0.077379756,3.497919138759324e-08,7.456190234307464,TDR125,20,muscle,filtered
mef2d,bcam,0.073144116,0.073144116,1.489742810876695e-11,10.826888701693822,TDR125,20,muscle,filtered
meis1a,efemp2b,0.07156794,0.07156794,2.551940123396787e-12,11.593129519756298,TDR125,20,muscle,filtered
meox1,fn1b,0.07141883,0.07141883,2.1033971655895145e-20,19.677078715645425,TDR125,20,muscle,filtered
sox6,ryr1b,0.07101859,0.07101859,7.933366334486236e-17,16.10054249108473,TDR125,20,muscle,filtered
meis1b,tenm4,0.069106236,0.069106236,1.2059024053926352e-10,9.918687838559476,TDR125,20,muscle,filtered
hoxc6b,hoxb3a,0.067422435,0.067422435,1.0760944982959915e-12,11.9681495889982,TDR125,20,muscle,filtered
hoxb6b,hoxc3a,0.06719219,0.06719219,1.3950883005299435e-11,10.855398303344314,TDR125,20,muscle,filtered
myog,mef2d,0.066255465,0.066255465,1.4709916615447812e-14,13.832389789104797,TDR125,20,muscle,filtered
sox6,robo3,0.06559355,0.06559355,8.15345232958406e-11,10.088658463625537,TDR125,20,muscle,filtered
meox1,qkia,0.065582976,0.065582976,2.408068411015051e-17,16.61833117933103,TDR125,20,muscle,filtered
foxd3,tmem38a,0.064507976,0.064507976,3.37731218275235e-14,13.471428793382845,TDR125,20,muscle,filtered
foxd3,traf4a,0.06426222,0.06426222,5.1215053884704026e-15,14.290602366014054,TDR125,20,muscle,filtered
lhx5,si:dkey-239j18.2,0.06373624,0.06373624,9.785899506469285e-06,5.009399248417686,TDR125,20,muscle,filtered
tfap2e,srl,0.06339058,0.06339058,1.8742097691500307e-07,6.727181802730038,TDR125,20,muscle,filtered
cebpa,si:dkey-26g8.5,0.0629595,0.0629595,4.35735223497921e-10,9.360777331612404,TDR125,20,muscle,filtered
pknox2,tenm4,0.06269282,0.06269282,1.672031613620466e-07,6.7767555154788655,TDR125,20,muscle,filtered
nr5a2,tpm2,0.062401835,0.062401835,9.034180546701608e-21,20.044111234379812,TDR125,20,muscle,filtered
zbtb18,apoc1,0.062159766,0.062159766,9.670741747574132e-12,11.014540214177172,TDR125,20,muscle,filtered
myod1,mef2d,0.061966695,0.061966695,6.85269547188932e-16,15.164138567440837,TDR125,20,muscle,filtered
zic2b,egfl6,0.06177544,0.06177544,1.4387057015403069e-22,21.842028035298057,TDR125,20,muscle,filtered
stat5a,smyhc1,0.061383203,0.061383203,1.3595876752022574e-11,10.866592780993885,TDR125,20,muscle,filtered
sox13,mdka,0.060840845,0.060840845,4.8561065391721125e-12,11.313711793747668,TDR125,20,muscle,filtered
sox13,apoeb,-0.060776155,0.060776155,1.0522299761641953e-09,8.977889330083755,TDR125,20,muscle,filtered
meis1a,myo1cb,0.060522635,0.060522635,1.4225058741022483e-12,11.846945931551573,TDR125,20,muscle,filtered
meis1a,qkia,0.06035268,0.06035268,4.009356716244439e-15,14.396925302441254,TDR125,20,muscle,filtered
hoxb8a,actb2,0.06025937,0.06025937,2.8590996037077396e-13,12.54377071467099,TDR125,20,muscle,filtered
hoxb3a,notch1a,0.060079183,0.060079183,7.979941830333329e-13,12.098000274420865,TDR125,20,muscle,filtered
rxraa,prickle1b,0.060005203,0.060005203,2.3909016599143088e-15,14.621438286466775,TDR125,20,muscle,filtered
sox7,actc1b,0.059819143,0.059819143,3.429966908282959e-06,5.464710069933741,TDR125,20,muscle,filtered
myog,robo3,0.059808332,0.059808332,4.53963691710258e-11,10.342978880888385,TDR125,20,muscle,filtered
gata6,he1.1,0.059700206,0.059700206,6.851153417985144e-11,10.164236307208633,TDR125,20,muscle,filtered
meis1a,ptk2ab,0.059286397,0.059286397,1.402904681300627e-19,18.852971835594193,TDR125,20,muscle,filtered
sox5,gli2a,0.05899167,0.05899167,4.7045058602749505e-12,11.327485986142335,TDR125,20,muscle,filtered
pax1a,actc1b,-0.05887531,0.05887531,6.063486058015183e-06,5.217277616681261,TDR125,20,muscle,filtered
sox5,notch1a,0.05865385,0.05865385,4.216535615876977e-11,10.37504422695943,TDR125,20,muscle,filtered
hoxc6b,apoc1,0.05863081,0.05863081,9.605492061935234e-10,9.017480382566003,TDR125,20,muscle,filtered
mef2d,ryr1b,0.058075856,0.058075856,1.963178442667277e-15,14.707040223505645,TDR125,20,muscle,filtered
rarga,rxraa,0.057785537,0.057785537,1.456807835164301e-16,15.836597731436454,TDR125,20,muscle,filtered
tbx16,msgn1,0.0577338,0.0577338,8.698742236723226e-21,20.060543538087074,TDR125,20,muscle,filtered
pax3a,mdka,0.05751722,0.05751722,6.202763948361879e-14,13.207414745979081,TDR125,20,muscle,filtered
meox1,draxin,0.05723485,0.05723485,9.168380257533408e-14,13.037707382688668,TDR125,20,muscle,filtered
dmrt2a,apoc1,0.0572208,0.0572208,5.9430827600776705e-08,7.225988221955353,TDR125,20,muscle,filtered
myog,qkia,0.05700777,0.05700777,7.937705532826848e-13,12.100305016267917,TDR125,20,muscle,filtered
bcl11aa,tenm4,0.05691199,0.05691199,2.5565951776787105e-08,7.5923380345935225,TDR125,20,muscle,filtered
rxraa,hoxc3a,0.056855734,0.056855734,3.9096135149538174e-09,8.407866172685706,TDR125,20,muscle,filtered
gata1a,actb2,0.056296725,0.056296725,8.047638257489578e-12,11.094331553449553,TDR125,20,muscle,filtered
hoxb6b,hoxb3a,0.056054674,0.056054674,4.4679672334521376e-12,11.349890020512362,TDR125,20,muscle,filtered
pitx3,he1.1,0.055603765,0.055603765,4.153426356341541e-06,5.381593485528114,TDR125,20,muscle,filtered
foxd3,atp2a1,0.055593923,0.055593923,4.685450802351031e-15,14.329248617891503,TDR125,20,muscle,filtered
nr3c2,srl,0.05554106,0.05554106,9.619033166260368e-10,9.016868577822839,TDR125,20,muscle,filtered
rxraa,efemp2b,0.055238556,0.055238556,2.4644861967889357e-13,12.608273609919557,TDR125,20,muscle,filtered
rxraa,draxin,0.055153653,0.055153653,7.342045538930637e-10,9.134182926118473,TDR125,20,muscle,filtered
rxraa,hoxb3a,0.055083994,0.055083994,6.361613580555046e-10,9.196432714500807,TDR125,20,muscle,filtered
rxraa,apoc1,0.055062536,0.055062536,4.666634741163194e-08,7.330996190138014,TDR125,20,muscle,filtered
onecut1,he1.1,0.054901235,0.054901235,2.3653039777630814e-11,10.626113037851441,TDR125,20,muscle,filtered
mef2d,rbm24a,0.054800168,0.054800168,2.1496226795721853e-18,17.667637764531207,TDR125,20,muscle,filtered
zic2b,actb2,0.054793153,0.054793153,1.4237158562902457e-06,5.8465766780858335,TDR125,20,muscle,filtered
rfx4,boc,0.05471844,0.05471844,7.977969662400458e-07,6.09810761950238,TDR125,20,muscle,filtered
sox6,eya1,0.054530695,0.054530695,4.2399599746537416e-10,9.372638243140537,TDR125,20,muscle,filtered
myog,actc1a,0.05451366,0.05451366,1.4286006224825378e-14,13.845089164976791,TDR125,20,muscle,filtered
tfap2b,srl,0.054333158,0.054333158,4.80392309298599e-09,8.318403953925076,TDR125,20,muscle,filtered
sox5,zbtb16a,0.05433215,0.05433215,1.0408711519392444e-05,4.9826030279007325,TDR125,20,muscle,filtered
meox1,cxcl12b,0.053225253,0.053225253,2.4841681359568407e-17,16.60481901314639,TDR125,20,muscle,filtered
creb5b,zbtb16a,0.05319773,0.05319773,4.606779381243612e-12,11.336602585620714,TDR125,20,muscle,filtered
gata6,srl,-0.052819077,0.052819077,2.7848237917925603e-08,7.555202279367518,TDR125,20,muscle,filtered
sox5,qkia,0.052666873,0.052666873,6.856842819588977e-13,12.163875805816463,TDR125,20,muscle,filtered
sox13,zbtb16a,0.052282553,0.052282553,2.2505910663079792e-08,7.64770340938852,TDR125,20,muscle,filtered
raraa,rxraa,0.052197672,0.052197672,1.9822071432691957e-12,11.702850963131228,TDR125,20,muscle,filtered
smad3a,notch1a,0.05209134,0.05209134,4.409502634680526e-07,6.355610393569622,TDR125,20,muscle,filtered
mef2ca,mef2cb,0.052006688,0.052006688,4.0692000736721564e-11,10.390490956311464,TDR125,20,muscle,filtered
tfap2e,sox6,0.05196513,0.05196513,1.111742102356941e-05,4.9539959470285515,TDR125,20,muscle,filtered
sox6,ptk2ab,0.051957104,0.051957104,5.954492665671292e-16,15.225155235337468,TDR125,20,muscle,filtered
klf12b,pax5,0.051827144,0.051827144,5.961982109613346e-08,7.224609331508329,TDR125,20,muscle,filtered
klf7a,tnnc2,0.051417083,0.051417083,1.446069814833964e-16,15.839810739223218,TDR125,20,muscle,filtered
foxd3,crip2,0.05134433,0.05134433,9.469816962737513e-13,12.023658415172156,TDR125,20,muscle,filtered
sox13,boc,0.05128676,0.05128676,2.2062874565736355e-10,9.65633790410316,TDR125,20,muscle,filtered
drgx,si:dkey-239j18.2,0.05093705,0.05093705,4.980670415105837e-10,9.302712195797557,TDR125,20,muscle,filtered
gli2a,rxraa,0.050903622,0.050903622,2.7144927999171693e-09,8.566311305955397,TDR125,20,muscle,filtered
msx1b,myo1cb,-0.050760794,0.050760794,5.243319801831041e-12,11.28039365288424,TDR125,20,muscle,filtered
lef1,tbx16,0.05060944,0.05060944,1.8862816753694028e-14,13.724393454268633,TDR125,20,muscle,filtered
foxd3,nav3,0.05046497,0.05046497,1.6805328626354299e-15,14.774552990530605,TDR125,20,muscle,filtered
rfx4,tenm4,0.050235,0.050235,3.133354143313387e-11,10.503990516770125,TDR125,20,muscle,filtered
meis2a,actc1b,0.050177317,0.050177317,4.6241809856586096e-05,4.334965176418272,TDR125,20,muscle,filtered
raraa,hoxb3a,0.05015111,0.05015111,2.6913714005209528e-11,10.5700263668713,TDR125,20,muscle,filtered
thrab,srl,0.050126027,0.050126027,3.886814992370518e-09,8.410406130761785,TDR125,20,muscle,filtered
mef2ca,ryr1b,0.050023943,0.050023943,1.0024681768388754e-17,16.998929405084475,TDR125,20,muscle,filtered
pax7a,mdka,0.049938716,0.049938716,1.507055643975812e-07,6.821870712233801,TDR125,20,muscle,filtered
meis1a,bmpr1ba,0.04983555,0.04983555,2.1986639680388556e-12,11.657841140797464,TDR125,20,muscle,filtered
klf7b,tnnc2,0.049835116,0.049835116,2.387474810447457e-12,11.622061201834848,TDR125,20,muscle,filtered
foxp4,actb2,0.04976756,0.04976756,6.338136238820905e-08,7.198038429845588,TDR125,20,muscle,filtered
sox6,smyhc1,-0.04972823,0.04972823,5.006327593768633e-06,5.300480735328861,TDR125,20,muscle,filtered
sox13,cdon,0.049599703,0.049599703,3.2473563287784155e-08,7.488470054111437,TDR125,20,muscle,filtered
myod1,efemp2a,0.049574234,0.049574234,4.6894700348132895e-18,17.328876234888572,TDR125,20,muscle,filtered
etv4,meox1,0.04951792,0.04951792,2.923361540882539e-11,10.534117470820943,TDR125,20,muscle,filtered
meox1,fgfrl1a,0.04934416,0.04934416,8.562476456722197e-19,18.067400609628532,TDR125,20,muscle,filtered
hoxc10a,hoxc3a,0.04903322,0.04903322,5.931566125673192e-12,11.226830623678262,TDR125,20,muscle,filtered
dmrt2a,bcam,0.04860287,0.04860287,7.467724370752804e-12,11.126811719977136,TDR125,20,muscle,filtered
foxp4,cdon,0.048555307,0.048555307,1.442344364420139e-12,11.840931038012867,TDR125,20,muscle,filtered
foxj1a,ctslb,0.048401017,0.048401017,0.00014836421355405804,3.828670841174572,TDR125,20,muscle,filtered
meox1,asph,0.04816206,0.04816206,2.412086591139038e-17,16.6176071055788,TDR125,20,muscle,filtered
mef2aa,mef2cb,0.04808523,0.04808523,4.075811272280524e-11,10.389785933916041,TDR125,20,muscle,filtered
zbtb18,rbm24a,0.048084803,0.048084803,4.6924852170367354e-15,14.328597086883384,TDR125,20,muscle,filtered
meis1a,eya1,0.04758755,0.04758755,9.923418835297801e-13,12.00333867809732,TDR125,20,muscle,filtered
myog,ryr1b,0.04758704,0.04758704,4.3417700731423706e-14,13.362333179179503,TDR125,20,muscle,filtered
sox5,fn1b,0.047395032,0.047395032,3.763242789548594e-15,14.424437761813065,TDR125,20,muscle,filtered
foxo3b,myog,0.04730589,0.04730589,6.06573335576521e-18,17.217116684804296,TDR125,20,muscle,filtered
sox6,pcdh7b,0.04727087,0.04727087,6.020683780191761e-11,10.220354182313567,TDR125,20,muscle,filtered
sox6,chrng,0.047166243,0.047166243,6.544605669000633e-10,9.184116515795623,TDR125,20,muscle,filtered
foxp1b,actb2,0.046951078,0.046951078,4.3989417799664994e-08,7.356651785876423,TDR125,20,muscle,filtered
meox1,gli2a,0.046839774,0.046839774,1.580019163491019e-14,13.801337645610177,TDR125,20,muscle,filtered
nr5a2,tnnt2c,0.046818487,0.046818487,2.2763820464298e-19,18.642754848282134,TDR125,20,muscle,filtered
nr5a2,acta1a,0.046783064,0.046783064,7.04835149822274e-14,13.151912445979084,TDR125,20,muscle,filtered
foxd3,pcdh7b,0.0467631,0.0467631,4.686402952723841e-07,6.329160372029994,TDR125,20,muscle,filtered
sox21a,mdka,0.04670076,0.04670076,9.979278103231913e-09,8.000900874255956,TDR125,20,muscle,filtered
lhx5,si:dkey-269i1.4,0.046567254,0.046567254,3.232756928225481e-07,6.490426948867874,TDR125,20,muscle,filtered
rxraa,fn1b,0.046485167,0.046485167,1.0461982835910122e-10,9.980385996818201,TDR125,20,muscle,filtered
tbx16,tbx16l,0.04628157,0.04628157,5.326623202897168e-14,13.273548023449875,TDR125,20,muscle,filtered
mef2ca,tnni2b.1,0.046082802,0.046082802,2.6197497570724794e-08,7.581740191242468,TDR125,20,muscle,filtered
tbr1b,apoc1,0.0459554,0.0459554,9.738565732853721e-14,13.011505000018095,TDR125,20,muscle,filtered
nr5a2,myl10,0.045898758,0.045898758,4.678635218912064e-19,18.329880814305433,TDR125,20,muscle,filtered
mef2aa,smyhc1,0.045883015,0.045883015,1.972381931816465e-06,5.70500898451666,TDR125,20,muscle,filtered
emx1,si:dkey-239j18.2,0.045757454,0.045757454,3.971558438943987e-08,7.401039042701855,TDR125,20,muscle,filtered
zic2b,sox6,-0.045518994,0.045518994,1.0383976241751076e-05,4.983636314196269,TDR125,20,muscle,filtered
pnx,si:dkey-239j18.2,-0.04550586,0.04550586,1.2336520625166566e-07,6.90880731083447,TDR125,20,muscle,filtered
meox1,hoxc3a,0.045415025,0.045415025,3.0814212856355697e-09,8.511248921767718,TDR125,20,muscle,filtered
sox6,gli2a,0.04524097,0.04524097,6.224674303821308e-17,16.2058833674055,TDR125,20,muscle,filtered
mef2cb,smyhc1,0.045078434,0.045078434,1.1403506480814563e-05,4.942961586285132,TDR125,20,muscle,filtered
meox1,pcdh8,0.04500154,0.04500154,5.67504382444067e-18,17.246030780365807,TDR125,20,muscle,filtered
mef2aa,atp2a1,0.04493882,0.04493882,1.483273000951835e-13,12.828778908381366,TDR125,20,muscle,filtered
sox5,draxin,0.044900645,0.044900645,1.421547204372141e-09,8.847238714406206,TDR125,20,muscle,filtered
tbx18,atp2a1,0.044633072,0.044633072,1.565413273545472e-13,12.805370988004883,TDR125,20,muscle,filtered
gli2a,sulf1,0.044611797,0.044611797,6.021443146705115e-16,15.220299409815498,TDR125,20,muscle,filtered
sox21a,he1.1,0.04460302,0.04460302,1.505617247797573e-05,4.822285418770428,TDR125,20,muscle,filtered
mef2d,tenm3,0.044538457,0.044538457,8.631148473880016e-15,14.063931412548603,TDR125,20,muscle,filtered
hmga1a,hsp90ab1,0.044310383,0.044310383,4.483440852410407e-18,17.348388555277452,TDR125,20,muscle,filtered
sox11a,mdka,0.044198953,0.044198953,7.990405014841014e-12,11.09743120676203,TDR125,20,muscle,filtered
vox,tbx16,0.044150453,0.044150453,3.3337179986944567e-13,12.47707114019809,TDR125,20,muscle,filtered
foxd3,robo3,0.043984618,0.043984618,9.688973801035178e-07,6.013722218423789,TDR125,20,muscle,filtered
hmga1a,eef1a1l1,0.04392606,0.04392606,2.922622655721859e-18,17.53422725344743,TDR125,20,muscle,filtered
en2a,en2b,0.0438313,0.0438313,2.22801010946054e-09,8.652082842909007,TDR125,20,muscle,filtered
hoxc3a,apoc1,0.04379001,0.04379001,3.5579665785804116e-11,10.448798135736713,TDR125,20,muscle,filtered
vsx1,myo1cb,-0.04373228,0.04373228,4.584662289676734e-08,7.33869264933562,TDR125,20,muscle,filtered
meis1b,qkia,0.043543186,0.043543186,4.97323377635485e-09,8.303361125446115,TDR125,20,muscle,filtered
hmga1a,ncl,0.043496132,0.043496132,3.2160015348851956e-19,18.492683752649953,TDR125,20,muscle,filtered
meis1b,zbtb16a,0.043302976,0.043302976,1.8947774607479536e-10,9.722441790046577,TDR125,20,muscle,filtered
sox3,mdka,0.04326519,0.04326519,9.488865027316678e-10,9.02278573086577,TDR125,20,muscle,filtered
myog,chrng,0.043174196,0.043174196,2.2194239988758845e-09,8.653759722201558,TDR125,20,muscle,filtered
sox6,ablim3,0.04317205,0.04317205,1.6207620393499468e-20,19.79028074368537,TDR125,20,muscle,filtered
meis3,actc1b,0.04316723,0.04316723,0.00013222571791878201,3.878684066303162,TDR125,20,muscle,filtered
foxd1,si:dkey-26g8.5,0.043084767,0.043084767,1.2132174277695609e-08,7.916061359711696,TDR125,20,muscle,filtered
mef2ca,myog,0.043070897,0.043070897,7.943782867597945e-14,13.099972635194048,TDR125,20,muscle,filtered
foxf1,sox6,0.04304629,0.04304629,1.5333500830294636e-12,11.81435867895491,TDR125,20,muscle,filtered
meis1a,kirrel3l,0.043044735,0.043044735,7.825646173900341e-15,14.10647979203417,TDR125,20,muscle,filtered
foxd3,mymk,0.04302985,0.04302985,1.0020662483552998e-10,9.999103565550548,TDR125,20,muscle,filtered
foxp2,actb2,0.04284413,0.04284413,2.074902153283967e-11,10.6830023786101,TDR125,20,muscle,filtered
tbx2b,smyhc1,0.042775046,0.042775046,2.0678644830386783e-11,10.6844779260215,TDR125,20,muscle,filtered
zic2b,boc,0.042717118,0.042717118,4.343611477067629e-08,7.362149028012152,TDR125,20,muscle,filtered
hmga1a,si:ch73-281n10.2,0.042646218,0.042646218,2.3051046378542966e-21,20.63730935547552,TDR125,20,muscle,filtered
foxi2,ctslb,-0.042642385,0.042642385,2.6022099120262483e-05,4.584657673201932,TDR125,20,muscle,filtered
meis1a,tenm4,0.042409353,0.042409353,5.666970033785001e-10,9.24664908384628,TDR125,20,muscle,filtered
sox6,crip2,0.04239555,0.04239555,1.426848486081191e-08,7.845622141217809,TDR125,20,muscle,filtered
hoxb3a,apoc1,0.042326882,0.042326882,7.00357671489356e-08,7.154680109867446,TDR125,20,muscle,filtered
tbx3a,smyhc1,-0.042009432,0.042009432,1.1631241890823732e-15,14.934373912310477,TDR125,20,muscle,filtered
hey1,zgc:158328,0.04200685,0.04200685,1.0014527724797632e-16,15.99936952678484,TDR125,20,muscle,filtered
smad3a,apoc1,0.041982356,0.041982356,4.1081160527780526e-08,7.386357296240971,TDR125,20,muscle,filtered
rxraa,cxcl12b,0.041968454,0.041968454,3.675383196525168e-08,7.434697374549702,TDR125,20,muscle,filtered
emx2,si:dkey-239j18.2,0.041843757,0.041843757,3.959997757198332e-06,5.402305060043342,TDR125,20,muscle,filtered
myod1,rbm24a,0.041830678,0.041830678,1.6524971280576174e-15,14.781859286619818,TDR125,20,muscle,filtered
foxd3,tnni2b.1,0.041829698,0.041829698,1.3497926928009602e-10,9.869732927272427,TDR125,20,muscle,filtered
foxd3,hsp90aa1.1,0.041758236,0.041758236,1.7559690451785671e-15,14.755483144253738,TDR125,20,muscle,filtered
sox6,jam2a,0.041737977,0.041737977,5.922764644423099e-14,13.227475524772387,TDR125,20,muscle,filtered
hmga1a,cfl1,0.04151706,0.04151706,2.521169337858627e-18,17.59839798334865,TDR125,20,muscle,filtered
hey1,mef2d,0.041435726,0.041435726,1.877282318036831e-15,14.726470410412384,TDR125,20,muscle,filtered
lhx9,myo1cb,-0.041341204,0.041341204,1.6443462590355362e-07,6.784006725388226,TDR125,20,muscle,filtered
myod1,emp2,0.041254167,0.041254167,7.681824717453568e-15,14.114535606714083,TDR125,20,muscle,filtered
meis1a,tenm3,0.041214522,0.041214522,2.9679533371097925e-12,11.527542931423683,TDR125,20,muscle,filtered
noto,si:dkey-239j18.2,-0.041082513,0.041082513,4.878676032141771e-07,6.311698020199793,TDR125,20,muscle,filtered
meis1a,fgfrl1a,0.040998705,0.040998705,3.889628517990139e-13,12.41009187432747,TDR125,20,muscle,filtered
hmga1a,rplp0,0.040964182,0.040964182,7.565905776495599e-20,19.121139071581847,TDR125,20,muscle,filtered
hoxb3a,fn1b,0.04089573,0.04089573,6.199692713853785e-17,16.207629835660597,TDR125,20,muscle,filtered
hnf1ba,apoc1,-0.04075714,0.04075714,1.0091208785076559e-10,9.996056808268008,TDR125,20,muscle,filtered
klf7b,mef2d,0.04064513,0.04064513,3.4058936803850307e-15,14.467768913256208,TDR125,20,muscle,filtered
mef2ca,smyhc1,0.040602837,0.040602837,2.338310414447994e-05,4.631097836059865,TDR125,20,muscle,filtered
uncx,myo1cb,-0.04059171,0.04059171,1.9351507232072223e-08,7.713285203405819,TDR125,20,muscle,filtered
esrrga,efemp2b,-0.04016283,0.04016283,1.3230482292156895e-12,11.8784243241417,TDR125,20,muscle,filtered
hoxb3a,itm2cb,0.040094327,0.040094327,0.0008253666244928878,3.083353096752073,TDR125,20,muscle,filtered
meox1,ripply1,0.04006891,0.04006891,1.8324527566423866e-19,18.736967213300204,TDR125,20,muscle,filtered
myog,fxr2,0.03991063,0.03991063,2.065117137178541e-18,17.685055309340527,TDR125,20,muscle,filtered
mef2d,robo1,0.039894134,0.039894134,1.8882122925380897e-15,14.72394917937336,TDR125,20,muscle,filtered
pdx1,qkia,0.039886188,0.039886188,3.3993694652042943e-13,12.468601630951087,TDR125,20,muscle,filtered
hmx4,si:dkey-239j18.2,0.039883472,0.039883472,3.9930509455470444e-07,6.398695148801702,TDR125,20,muscle,filtered
hmga1a,hmgn2,0.039674334,0.039674334,7.719211108708606e-19,18.112427081612612,TDR125,20,muscle,filtered
myog,jam2a,0.039537467,0.039537467,4.8095872761556874e-14,13.317892190025049,TDR125,20,muscle,filtered
meis1b,hoxb3a,0.03942587,0.03942587,1.0581552414029373e-12,11.975450612509903,TDR125,20,muscle,filtered
meis1b,gli2a,0.039207686,0.039207686,1.6766305774859872e-15,14.775562617676085,TDR125,20,muscle,filtered
sox5,robo1,0.039202888,0.039202888,6.34111636619783e-19,18.197834276976437,TDR125,20,muscle,filtered
tcf7l2,zbtb16a,0.039125875,0.039125875,1.1972800127089669e-08,7.921804267511063,TDR125,20,muscle,filtered
meis1a,emp2,0.0391036,0.0391036,5.328141073620181e-12,11.273424284835562,TDR125,20,muscle,filtered
mef2ca,mef2d,0.03907547,0.03907547,3.2471854601943267e-15,14.488492906311215,TDR125,20,muscle,filtered
meis1b,sox6,-0.039028514,0.039028514,5.594675625716082e-06,5.252225088410944,TDR125,20,muscle,filtered
tbx18,lmo7b,0.03885866,0.03885866,2.3054809476701074e-18,17.637238462408327,TDR125,20,muscle,filtered
meox1,tbx6,0.038849246,0.038849246,2.723969303096246e-15,14.564797790874902,TDR125,20,muscle,filtered
mef2d,zgc:92429,0.038617756,0.038617756,1.3278708347014858e-17,16.87684416781785,TDR125,20,muscle,filtered
mef2aa,tnni2b.1,0.03860938,0.03860938,1.7297089389760679e-10,9.762026970184086,TDR125,20,muscle,filtered
rfx4,zbtb16a,0.038570996,0.038570996,1.1606654892464004e-08,7.9352929285018625,TDR125,20,muscle,filtered
hmga1a,hmgb2a,0.038554624,0.038554624,1.300747450195441e-18,17.885807016761646,TDR125,20,muscle,filtered
meis1a,rgs3a,0.038469613,0.038469613,2.981143508199312e-11,10.525617117117678,TDR125,20,muscle,filtered
gli2a,meis1a,0.03843035,0.03843035,1.686590318258343e-08,7.772990397035742,TDR125,20,muscle,filtered
gfi1b,actc1b,0.038369495,0.038369495,1.3990986265956531e-05,4.854151669727963,TDR125,20,muscle,filtered
foxn3,tmem38a,0.03834873,0.03834873,3.952475200873444e-09,8.403130846293314,TDR125,20,muscle,filtered
rxraa,gli2a,0.03827169,0.03827169,1.1658603474183102e-09,8.933353468426033,TDR125,20,muscle,filtered
meox1,arid3c,0.038166184,0.038166184,6.390849359380407e-16,15.194441419215782,TDR125,20,muscle,filtered
foxo3b,apoc1,-0.03810326,0.03810326,1.2294782044727686e-10,9.910279165795624,TDR125,20,muscle,filtered
mef2ca,atp2a1,0.03793212,0.03793212,2.8142848735963883e-14,13.55063194358604,TDR125,20,muscle,filtered
sox13,nova2,0.037809357,0.037809357,3.426927718999426e-15,14.465095055643301,TDR125,20,muscle,filtered
crx,he1.1,0.037680697,0.037680697,1.400325440467177e-08,7.853771021054471,TDR125,20,muscle,filtered
rxraa,sox5,0.037623495,0.037623495,4.775311311092673e-10,9.320998310722619,TDR125,20,muscle,filtered
meis1a,greb1l,0.03756915,0.03756915,9.637974995424424e-16,15.016014204758537,TDR125,20,muscle,filtered
rarga,tbx16,0.037517678,0.037517678,9.264303303188841e-14,13.033187235056081,TDR125,20,muscle,filtered
cebpa,srl,-0.037468053,0.037468053,7.125760667696667e-08,7.147168768351013,TDR125,20,muscle,filtered
sox5,apoc1,0.03739251,0.03739251,4.875832437025039e-09,8.31195122777183,TDR125,20,muscle,filtered
